1,21/9/2024,(H),West Ham United,3-0
2,29/9/2024,(A),Everton,0-1
3,24/11/2024,(A),Chelsea,1-0
4,13/10/2024,(H),Tottenham Hotspur,3-0
5,19/10/2024,(A),Brighton,1-1
6,3/11/2024,(H),Arsenal,1-1
7,10/11/2024,(H),Aston Villa,0-0
8,17/11/2024,(A),Leicester City,0-2
9,8/12/2024,(H),Liverpool,4-0
10,15/12/2024,(A),Crystal Palace,0-1
11,19/1/2025,(A),Manchester City,0
12,26/1/2025,(H),Brighton,0
13,2/2/2025,(A),Tottenham Hotspur,0
14,16/2/2025,(H),Crystal Palace,0
15,2/3/2025,(H),Leicester City,0
16,16/3/2025,(A),Liverpool,0
17,23/3/2025,(A),Aston Villa,0
18,30/3/2025,(H),Everton,0
19,20/4/2025,(A),West Ham United,0
20,27/4/2025,(H),Chelsea,0
21,4/5/2025,(H),Manchester City,0
22,11/5/2025,(A),Arsenal,0
