Safia Middleton-Patel,GK,20,39,Wales,27/1/2023,0,0,0
Phallon Tullis-Joyce,GK,28,91,USA,14/9/2023,10,0,0
Anna Sandberg,DEF,21,2,Sweden,2/8/2024,3,0,0
Gabby George,DEF,27,3,England,14/9/2023,9,0,0
Maya Le Tissier,DEF,22,4,England,20/7/2023,10,1,0
Aoife Mannion,DEF,29,5,Ireland,26/7/2021,4,0,0
Hannah Blundell,DEF,30,6,England,23/7/2021,0,0,0
Jayde Riviere,DEF,23,14,Brazil,21/1/2023,8,0,0
Dominique Janssen,DEF,29,17,Netherlands,2/7/2024,10,1,2
Millie Turner,DEF,28,21,England,1/7/2018,10,0,1
Evie Rabjohn,DEF,19,25,England,3/5/2023,0,0,0
Jess Simpson,DEF,19,38,England,27/1/2023,0,0,0
Lucy Newell,DEF,18,55,England,2/10/2024,0,0,0
Ella Toone,MID,25,7,England,1/7/2018,6,0,0
Grace Clinton,MID,21,8,England,15/7/2022,10,4,0
Leah Galton,MID,30,11,England,1/7/2018,6,2,1
Hayley Ladd,MID,31,12,Wales,1/7/2019,3,0,0
Simi Awujo,MID,21,13,Canada,9/8/2024,9,0,0
Lisa Naalsund,MID,29,16,Norway,24/1/2023,5,0,1
Hinata Miyazawa,MID,24,20,Japan,6/9/2023,7,0,0
Emma Watson,MID,18,34,Scotland,25/8/2023,1,0,0
Melvine Malard,FW,24,9,France,12/7/2024,6,2,0
Celin Bizet,FW,22,15,Norway,4/9/2024,10,1,3
Elisabeth Terland,FW,23,19,Norway,17/7/2024,9,4,0
Geyse,FW,26,23,Brazil,18/8/2023,7,1,3
Rachel Williams,FW,36,28,England,12/7/2022,8,0,1
Keira Barry,FW,19,37,England,25/5/2023,0,0,0
